net_manager,street,house_number,zipcode,city,annual_consume,annual_produce
Enexis B.V.,Sigmondstraat,103,4251XW,WERKENDAM,202,0
Enexis B.V.,Burchtstraat,20,4251ZC,WERKENDAM,135.2631579,0
Enexis B.V.,A van Drielstraat,2,4251ZG,WERKENDAM,158.2631579,0
Enexis B.V.,Bakkerskilstraat,90,4251ZJ,WERKENDAM,177.75,0
Enexis B.V.,K van de Sandestraat,141,4251ZN,WERKENDAM,212.1666667,0
Enexis B.V.,J C Pieckstraat,110,4251ZR,WERKENDAM,142.7368421,12.84631579
Enexis B.V.,Kanaalstraat,20,4251ZS,WERKENDAM,226,72.32
Enexis B.V.,K van de Sandeplein,53,4254AA,SLEEUWIJK,220.875,0
Enexis B.V.,Bijtelskil,35,4254AB,SLEEUWIJK,314.5833333,305.1458333
Enexis B.V.,Oudland van Altenastraat,128,4254AC,SLEEUWIJK,228.95,0
Enexis B.V.,Vlietstraat,92,4254AD,SLEEUWIJK,152.24,0
Enexis B.V.,Schoolstraat,38,4254AK,SLEEUWIJK,229.0714286,0
Enexis B.V.,Berkenlaan,67,4254AM,SLEEUWIJK,146.6666667,0
Enexis B.V.,Meidoornlaan,67,4254AN,SLEEUWIJK,170.3846154,0
Enexis B.V.,Eikenlaan,76,4254AR,SLEEUWIJK,229.8888889,0
Enexis B.V.,Transvaal,133,4254AT,SLEEUWIJK,165,0
Enexis B.V.,Larikslaan,60,4254BD,SLEEUWIJK,288.8666667,277.312
Enexis B.V.,Peppeldreef,125,4254BK,SLEEUWIJK,289.25,0
Enexis B.V.,Olmenhof,52,4254BM,SLEEUWIJK,315.25,0
Enexis B.V.,Lindenhof,131,4254BP,SLEEUWIJK,261.3571429,0
Enexis B.V.,Espendreef,130,4254BS,SLEEUWIJK,174.7142857,0
Enexis B.V.,Beukenhof,85,4254BV,SLEEUWIJK,231.2631579,0
Enexis B.V.,Abeelhof,145,4254BX,SLEEUWIJK,102.90625,0
Enexis B.V.,Notenlaan,139,4254CA,SLEEUWIJK,553.6,0
Enexis B.V.,Vijfmorgen,130,4254CH,SLEEUWIJK,186.3333333,0
Enexis B.V.,Tienhont,71,4254CM,SLEEUWIJK,215,0
Enexis B.V.,Smalle Vliet,69,4254CN,SLEEUWIJK,204.125,0
Enexis B.V.,Griendweg,69,4254CR,SLEEUWIJK,285.9473684,0
Enexis B.V.,Het Witte Huis,125,4254CS,SLEEUWIJK,291,0
Enexis B.V.,Het Gerecht,75,4254CT,SLEEUWIJK,290.8333333,0
Enexis B.V.,Florushoeve,32,4254CV,SLEEUWIJK,211,0
Enexis B.V.,Jan van Arkelstraat,127,4254CW,SLEEUWIJK,419.6666667,0
Enexis B.V.,Prins Willem v Oranjestr,133,4254DA,SLEEUWIJK,385.1666667,0
Enexis B.V.,Philips van Nassaustraat,35,4254DE,SLEEUWIJK,186.3181818,0
Enexis B.V.,Ridderpoort,9,4254DG,SLEEUWIJK,258.4736842,0
Enexis B.V.,Munnikenhof,146,4254DJ,SLEEUWIJK,151.1,0
Enexis B.V.,Munnikensingel,34,4254DM,SLEEUWIJK,139.1052632,13.91052632
Enexis B.V.,Munnikenland,34,4254DN,SLEEUWIJK,83.25,57.4425
Enexis B.V.,Santcade,140,4254EC,SLEEUWIJK,175.3333333,0
Enexis B.V.,Elsje van Houweningepad,135,4254ED,SLEEUWIJK,222.8,0
Enexis B.V.,Maria v Reigersbergenwg,75,4254EE,SLEEUWIJK,95.06060606,0
Enexis B.V.,Herman de Ruijterweg,9,4254EG,SLEEUWIJK,370.1666667,307.2383334
Enexis B.V.,Loevestein,79,4254EH,SLEEUWIJK,124.4390244,0
Enexis B.V.,Hugo de Grootweg,122,4254EJ,SLEEUWIJK,313.6666667,0
Enexis B.V.,Jan de Waalstraat,40,4254EM,SLEEUWIJK,223.8,0
Enexis B.V.,Nanningh Keyserstraat,23,4254EN,SLEEUWIJK,222.3684211,0
Enexis B.V.,Jacob de Wittstraat,28,4254ER,SLEEUWIJK,193.45,5.8035
Enexis B.V.,Nicolaas Stellingwerf,78,4254ET,SLEEUWIJK,202.8888889,0
Enexis B.V.,Albert Ruylweg,127,4254EW,SLEEUWIJK,332.8181818,0
Enexis B.V.,Goudenregenpad,51,4254GA,SLEEUWIJK,205.25,0
Enexis B.V.,Acacialaan,120,4254GC,SLEEUWIJK,214.4166667,0
Enexis B.V.,Lijsterbeshof,11,4254GH,SLEEUWIJK,272,228.48
Enexis B.V.,Vlierdreef,63,4254GJ,SLEEUWIJK,235.1666667,0
Enexis B.V.,Vijcie,45,4254LA,SLEEUWIJK,246.0714286,93.50714287
Enexis B.V.,Robijnsweg,41,4254LB,SLEEUWIJK,186.1578947,0
Enexis B.V.,Kerkeinde,31,4254LD,SLEEUWIJK,467.4117647,0
Enexis B.V.,Kooikamp,100,4254LJ,SLEEUWIJK,964.8421053,0
Enexis B.V.,Hoekeinde,70,4254LK,SLEEUWIJK,124.6410256,0
Enexis B.V.,Muggenschans,85,4254LR,SLEEUWIJK,405.8571429,0
Enexis B.V.,Woudrichemsedijk,128,4254LT,SLEEUWIJK,182.4285714,0
Enexis B.V.,Rijksstraatweg,128,4254XB,SLEEUWIJK,257.84375,0
Enexis B.V.,Zandpad,37,4254XL,SLEEUWIJK,306.3636364,0
Enexis B.V.,'t Zand,144,4254XP,SLEEUWIJK,203,0
Enexis B.V.,Egelantierpad,59,4254XR,SLEEUWIJK,167.6,0
Enexis B.V.,Buitenlust,74,4254XS,SLEEUWIJK,161.34375,0
Enexis B.V.,De Hoogjens,90,4254XV,SLEEUWIJK,1075.4,0
Enexis B.V.,Kerkweg,72,4255EA,NIEUWENDIJK NB,226.1578947,239.7273684
Enexis B.V.,Rijksweg,106,4255GE,NIEUWENDIJK NB,463.4736842,0
Enexis B.V.,Buitendijk,137,4255GT,NIEUWENDIJK NB,176.1666667,0
Enexis B.V.,Buitenkade,28,4255GW,NIEUWENDIJK NB,351.2631579,0
Enexis B.V.,Dijkje,39,4255GX,NIEUWENDIJK NB,366.4074074,0
Enexis B.V.,Zevenbanseweg,101,4255GZ,NIEUWENDIJK NB,474.8666667,0
Enexis B.V.,Prinses Julianaweg,5,4255HB,NIEUWENDIJK NB,377.7894737,0
Enexis B.V.,Singel,131,4255HC,NIEUWENDIJK NB,98.2195122,0
Enexis B.V.,Vijverstraat,89,4255HE,NIEUWENDIJK NB,95.68292683,0
Enexis B.V.,Van der Steltstraat,16,4255HH,NIEUWENDIJK NB,148.4615385,0
Enexis B.V.,Heistraat,1,4255HK,NIEUWENDIJK NB,158.6666667,119
Enexis B.V.,Narcisstraat,95,4255HL,NIEUWENDIJK NB,141.3714286,73.51314287
Enexis B.V.,Tulpstraat,64,4255HR,NIEUWENDIJK NB,251.25,0
Enexis B.V.,Snijderstraat,90,4255HS,NIEUWENDIJK NB,276.0833333,184.9758333
Enexis B.V.,Anjerstraat,104,4255HT,NIEUWENDIJK NB,300.4666667,0
Enexis B.V.,Cactusstraat,8,4255HV,NIEUWENDIJK NB,119.862069,43.15034484
Enexis B.V.,Ippelseweg,121,4255HW,NIEUWENDIJK NB,462.5,0
Enexis B.V.,Anemoonstraat,38,4255JA,NIEUWENDIJK NB,301.4210526,0
Enexis B.V.,Begoniastraat,47,4255JE,NIEUWENDIJK NB,126.1538462,0
Enexis B.V.,Dahliastraat,93,4255JH,NIEUWENDIJK NB,81.53571429,0
Enexis B.V.,Amaryllishof,27,4255JM,NIEUWENDIJK NB,72.41860465,0
Enexis B.V.,Schenkeldijk,20,4255KB,NIEUWENDIJK NB,170.0645161,0
Enexis B.V.,Prikwaard,119,4255KH,NIEUWENDIJK NB,482.9473684,125.5663158
Enexis B.V.,Zandsteeg,94,4255SE,NIEUWENDIJK NB,233.6363636,0
Enexis B.V.,Killeweg,145,4255SK,NIEUWENDIJK NB,314.4736842,0
Enexis B.V.,Kildijk,60,4255TB,NIEUWENDIJK NB,209.2916667,0
Enexis B.V.,Prinses Beatrixlaan,72,4255TH,NIEUWENDIJK NB,151.6153846,0
Enexis B.V.,Prins Bernhardlaan,109,4255VC,NIEUWENDIJK NB,220.1875,0
Enexis B.V.,Prinses Marijkelaan,69,4255VD,NIEUWENDIJK NB,134,0
Enexis B.V.,Prinses Irenelaan,16,4255VH,NIEUWENDIJK NB,156.2857143,0
Enexis B.V.,Biesboschstraat,4,4255VM,NIEUWENDIJK NB,186.7619048,0
Enexis B.V.,Eemstraat,139,4255VN,NIEUWENDIJK NB,261.25,0
Enexis B.V.,Hoekkampstraat,98,4255VP,NIEUWENDIJK NB,195,0
Enexis B.V.,Altenastraat,111,4255VT,NIEUWENDIJK NB,143.6875,102.018125
Enexis B.V.,Griendstraat,149,4255VX,NIEUWENDIJK NB,642.5454545,0
Enexis B.V.,Kortestraat,1,4261AA,WIJK EN AALBURG,288.1333333,0
Enexis B.V.,Langestraat,5,4261AB,WIJK EN AALBURG,262.5714286,0
Enexis B.V.,Maasdijk,117,4261AC,WIJK EN AALBURG,211.8333333,95.32499999
Enexis B.V.,Wijkse Bol,85,4261AM,WIJK EN AALBURG,241.64,0
Enexis B.V.,Grote Kerkstraat,67,4261BC,WIJK EN AALBURG,471.0555556,0
Enexis B.V.,Torenstraat,7,4261BG,WIJK EN AALBURG,243.3333333,138.7
Enexis B.V.,Aalburgsestraat,148,4261BK,WIJK EN AALBURG,244.6153846,0
Enexis B.V.,Oude Kerkstraat,19,4261BL,WIJK EN AALBURG,296.2727273,0
Enexis B.V.,Katalijnestraat,9,4261BM,WIJK EN AALBURG,201.0714286,0
Enexis B.V.,Polstraat,71,4261BR,WIJK EN AALBURG,506.125,0
Enexis B.V.,Bergstraat,59,4261BW,WIJK EN AALBURG,277.6666667,0
Enexis B.V.,Rozenstraat,6,4261CC,WIJK EN AALBURG,119.3703704,0
Enexis B.V.,Anjelierstraat,69,4261CJ,WIJK EN AALBURG,488.1176471,0
Enexis B.V.,Chrysantenstraat,18,4261CN,WIJK EN AALBURG,212.75,0
Enexis B.V.,Jasmijnstraat,80,4261CR,WIJK EN AALBURG,164.7272727,0
Enexis B.V.,Azaleastraat,99,4261CT,WIJK EN AALBURG,72.96,0
Enexis B.V.,Asterstraat,65,4261CX,WIJK EN AALBURG,143.6956522,0
Enexis B.V.,Violierstraat,136,4261CZ,WIJK EN AALBURG,197.0952381,5.912857143
Enexis B.V.,Markt,71,4261DC,WIJK EN AALBURG,146.952381,0
Enexis B.V.,Tempelierstraat,65,4261DD,WIJK EN AALBURG,164.4482759,0
Enexis B.V.,De Galerij,106,4261DG,WIJK EN AALBURG,808.2222222,759.7288889
Enexis B.V.,Seringstraat,86,4261DH,WIJK EN AALBURG,78.12244898,0
Enexis B.V.,Parallelweg,28,4261GA,WIJK EN AALBURG,909.1818182,0
Enexis B.V.,Berenhoeksestraat,55,4261KA,WIJK EN AALBURG,375.3636364,0
Enexis B.V.,Perzikstraat,45,4261KC,WIJK EN AALBURG,258.375,0
Enexis B.V.,Spijk,15,4261KE,WIJK EN AALBURG,367.6086957,0
Enexis B.V.,Kapt H van der Maadenstr,48,4261LA,WIJK EN AALBURG,219.1666667,52.60000001
Enexis B.V.,Vroonhoeve,143,4261LC,WIJK EN AALBURG,301.6923077,0
Enexis B.V.,Vlasakker,135,4261LG,WIJK EN AALBURG,68.79487179,0
Enexis B.V.,Kerkverreweide,109,4261LK,WIJK EN AALBURG,459.9230769,27.59538461
Enexis B.V.,Uithof,146,4261LM,WIJK EN AALBURG,178.75,28.6
Enexis B.V.,Hoptuin,14,4261LS,WIJK EN AALBURG,255.8666667,0
Enexis B.V.,Rietkant,41,4261LT,WIJK EN AALBURG,273.25,0
Enexis B.V.,Ossenwaard,113,4261MA,WIJK EN AALBURG,94,0
Enexis B.V.,Donksewaard,6,4261ME,WIJK EN AALBURG,379.9375,0
Enexis B.V.,Buitenwaard,22,4261MG,WIJK EN AALBURG,205,0
Enexis B.V.,Den Oudert,80,4261NA,WIJK EN AALBURG,313.125,0
Enexis B.V.,Engelsestoof,110,4261RA,WIJK EN AALBURG,271.2222222,0
Enexis B.V.,Rivelstraat,39,4261RB,WIJK EN AALBURG,348.4782609,0
Enexis B.V.,Veldstraat,8,4261RD,WIJK EN AALBURG,450.2580645,0
Enexis B.V.,Klaverplak,116,4261TE,WIJK EN AALBURG,432.3571429,0
Enexis B.V.,Nijverheidstraat,1,4261TK,WIJK EN AALBURG,468.3043478,0
Enexis B.V.,Zwaansheuvelsedijk,107,4261TN,WIJK EN AALBURG,836,0
Enexis B.V.,Wijksestraat,5,4261TV,WIJK EN AALBURG,1133,0
Enexis B.V.,De Kroon,129,4261TW,WIJK EN AALBURG,830.6363636,0
Enexis B.V.,Het Hakkevelt,20,4261TZ,WIJK EN AALBURG,125.8571429,0
Enexis B.V.,De Vlijt,56,4261XB,WIJK EN AALBURG,91.10869565,0
Enexis B.V.,Molenhof,35,4261XC,WIJK EN AALBURG,200.2631579,0
Enexis B.V.,Spieringen,6,4261XG,WIJK EN AALBURG,144.1212121,0
Enexis B.V.,Herrebeugel,99,4261XL,WIJK EN AALBURG,208.9411765,0
Enexis B.V.,De Wiek,33,4261XP,WIJK EN AALBURG,184.1666667,0
Enexis B.V.,Kraaijenveld,125,4261ZA,WIJK EN AALBURG,95.03030303,0
Enexis B.V.,Vogelenzang,111,4261ZC,WIJK EN AALBURG,191.0555556,0
Enexis B.V.,Taxhof,134,4261ZJ,WIJK EN AALBURG,396.3846154,0
Enexis B.V.,Veense Put,92,4264AE,VEEN,20.34597156,0
Enexis B.V.,Bagijnhof,79,4264AZ,VEEN,292.2280702,70.13473685
Enexis B.V.,Veensesteeg,140,4264KG,VEEN,1234.285714,37.02857142
Enexis B.V.,Schmitzstraat,117,4264RA,VEEN,310.0909091,0
Enexis B.V.,Wethouder van der Polstr,41,4264RD,VEEN,105.7037037,0
Enexis B.V.,Nieuwstraat,144,4264RE,VEEN,389.8421053,0
Enexis B.V.,Hubertus Schreudershof,70,4264RG,VEEN,92.20454545,0
Enexis B.V.,Grotestraat,125,4264RH,VEEN,561.7058824,0
Enexis B.V.,Van der Loostraat,18,4264RP,VEEN,176.3666667,125.2203334
Enexis B.V.,Mussentiend,101,4264RR,VEEN,1159.666667,0
Enexis B.V.,Witboomstraat,104,4264RT,VEEN,415.3043478,353.0086956
Enexis B.V.,Burgemeester van Dijkstr,9,4264RZ,VEEN,298.9375,0
Enexis B.V.,Dr. Tjalmastraat,73,4264SB,VEEN,391.3571429,0
Enexis B.V.,Wilhelminastraat,119,4264SH,VEEN,117.6666667,0
Enexis B.V.,Juliana van Stolbergstr,49,4264SJ,VEEN,106.25,0
Enexis B.V.,Willem de Zwijgerstraat,111,4264SL,VEEN,290.6923077,0
Enexis B.V.,Hofstraat,67,4264SN,VEEN,128,71.68
Enexis B.V.,Frederik Hendrikstraat,72,4264SR,VEEN,187.4,0
Enexis B.V.,Mauritsstraat,85,4264SX,VEEN,345.125,0
Enexis B.V.,Meerhoek,6,4265HB,GENDEREN,247.9285714,0
Enexis B.V.,Meerstraat,27,4265HD,GENDEREN,536.7142857,418.6371428
Enexis B.V.,Burgemeester Brunestraat,1,4265HE,GENDEREN,228.5,221.645
Enexis B.V.,Kelderstraat,120,4265HG,GENDEREN,280.1612903,117.6677419
Enexis B.V.,Hoofdstraat,92,4265HJ,GENDEREN,274.6923077,0
Enexis B.V.,Oegemastraat,2,4265HM,GENDEREN,273.2142857,0
Enexis B.V.,Bulkstraat,44,4265HP,GENDEREN,288.5384615,0
Enexis B.V.,Van der Beekstraat,15,4265HS,GENDEREN,84.34,0
Enexis B.V.,Hoefstraat,85,4265HT,GENDEREN,378.6111111,272.6
Enexis B.V.,Voompad,143,4265HX,GENDEREN,548,0
Enexis B.V.,Akkerstraat,112,4265HZ,GENDEREN,88.25641026,0
Enexis B.V.,Susterenhof,128,4265JA,GENDEREN,423.3571429,165.1092857
Enexis B.V.,Rondendans,64,4265JG,GENDEREN,292.2380952,0
Enexis B.V.,Genderensedijk,79,4265JH,GENDEREN,850.5789474,0
Enexis B.V.,Nieuwe Steeg,113,4265JL,GENDEREN,122.7428571,0
Enexis B.V.,Doeverensestraat,79,4265JN,GENDEREN,210.5,0
Enexis B.V.,Weidestraat,95,4265JP,GENDEREN,284.3125,0
Enexis B.V.,Weteringshof,143,4265JS,GENDEREN,524.5,555.97
Enexis B.V.,Ruiterhof,5,4265JW,GENDEREN,90.06382979,47.73382979
Enexis B.V.,Raadhuisstraat,123,4265JX,GENDEREN,302.8928571,0
Enexis B.V.,Hoofdveld,150,4266EC,EETHEN,111.7291667,0
Enexis B.V.,Eikenstraat,21,4266ED,EETHEN,216.8125,0
Enexis B.V.,Wilgenstraat,129,4266EE,EETHEN,183.2,43.968
Enexis B.V.,Lindestraat,83,4266EG,EETHEN,402.9,0
Enexis B.V.,C. Branderhorststraat,72,4266EL,EETHEN,245.625,0
Enexis B.V.,De Hoek,64,4266EM,EETHEN,244.8571429,0
Enexis B.V.,A. van der Kolkstraat,23,4266EN,EETHEN,224.3529412,0
Enexis B.V.,De Korten Bruggert,37,4266ER,EETHEN,759.9375,0
Enexis B.V.,Provincialeweg-Zuid,4,4266ES,EETHEN,540.8333333,91.94166666
Enexis B.V.,Kleibergsestraat,83,4266GC,EETHEN,1230.285714,0
Enexis B.V.,Oude Weidesteeg,58,4266VE,EETHEN,300.5,243.405
Enexis B.V.,Burg D A vd Schansstr,145,4267EP,DRONGELEN,265.1818182,0
Enexis B.V.,Waarderweg,134,4267ER,DRONGELEN,406.84,0
Enexis B.V.,Gansoyen,132,4267EW,DRONGELEN,254.5,0
Enexis B.V.,Molensteeg,12,4267EZ,DRONGELEN,377.1111111,0
Enexis B.V.,Eindsestraat,129,4267GX,DRONGELEN,433.5714286,0
Enexis B.V.,Moleneind,116,4268GC,MEEUWEN,305,335.5
Enexis B.V.,Dorpsstraat,94,4268GG,MEEUWEN,152.375,0
Enexis B.V.,Laan,92,4268GL,MEEUWEN,172.6363636,0
Enexis B.V.,Kasteellaan,119,4268GM,MEEUWEN,582.8461538,0
Enexis B.V.,Ridder van de Merwedestr,122,4268GP,MEEUWEN,128.2941176,0
Enexis B.V.,G. Sterkenburgstraat,12,4268GS,MEEUWEN,168.52,85.9452
Enexis B.V.,Hoog Meeuwen,23,4268GT,MEEUWEN,584.9230769,0
Enexis B.V.,Meeuwensedijk,111,4268GV,MEEUWEN,538.9090909,0
Enexis B.V.,Korenmolen,115,4268GW,MEEUWEN,92.13513514,0
Enexis B.V.,Van Buurenstraat,32,4268GZ,MEEUWEN,340.4827586,0
Enexis B.V.,Broeksestraat,12,4269VA,BABYLONIENBROEK,808,0
Enexis B.V.,Hillsestraat,90,4269VG,BABYLONIENBROEK,189.5666667,0
Enexis B.V.,Hill,12,4269VJ,DUSSEN,564.4210526,0
Enexis B.V.,de Croix hof,66,4271AE,DUSSEN,708,0
Enexis B.V.,Molenplantsoen,89,4271AG,DUSSEN,65.19230769,0
